[01/01/2025 02:50:21] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 02:54:58] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 02:55:24] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 02:55:46] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 03:01:27] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 03:01:44] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 03:02:28] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 10:04:48] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 10:05:06] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 10:05:10] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 19:28:25] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 19:34:09] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 19:35:24] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 19:37:46] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 19:39:58] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 20:03:12] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 20:04:07] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 20:06:52] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 20:08:09] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 20:09:00] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 20:09:54] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 20:10:45] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 20:12:16] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 20:13:52] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 20:17:38] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 20:17:45] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 20:18:21] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 20:19:58] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 21:00:43] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 23:19:51] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/01/2025 23:40:57] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 23:44:56] [INFO] received Windows console close event; shutting log-core down
[02/01/2025 21:41:24] [INFO] received Windows console close event; shutting log-core down
[02/01/2025 23:16:30] [INFO] received Windows console close event; shutting log-core down
[03/01/2025 19:07:30] [INFO] received Windows console close event; shutting log-core down
[03/01/2025 22:20:11] [INFO] received Windows console close event; shutting log-core down
[03/01/2025 22:20:13] [INFO] received Windows console close event; shutting log-core down
[03/01/2025 22:57:26] [INFO] received Windows console close event; shutting log-core down
[04/01/2025 01:05:49] [INFO] received Windows console close event; shutting log-core down
[04/01/2025 01:25:43] [INFO] received Windows console close event; shutting log-core down
[04/01/2025 01:27:21] [INFO] received Windows console close event; shutting log-core down
[04/01/2025 12:54:37] [INFO] received Windows console close event; shutting log-core down
[04/01/2025 12:54:43] [INFO] received Windows console close event; shutting log-core down
[04/01/2025 14:52:09] [INFO] received Windows console close event; shutting log-core down
[04/01/2025 16:14:42] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 20:39:41] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 20:57:37] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 20:58:50] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:00:04] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:01:17] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:04:10] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:05:19] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:06:11] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:08:38] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:08:44] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:14:24] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:16:09] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:18:49] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:22:29] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:23:02] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:23:43] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:25:05] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:26:02] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:26:43] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:27:18] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:27:25] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:28:10] [INFO] received Windows console close event; shutting log-core down
[08/01/2025 21:32:23] [INFO] received Windows console close event; shutting log-core down
[09/01/2025 19:10:53] [INFO] received Windows console close event; shutting log-core down
[09/01/2025 19:10:58] [INFO] received Windows console close event; shutting log-core down
[09/01/2025 20:23:31] [INFO] received Windows console close event; shutting log-core down
[09/01/2025 21:22:13] [INFO] received Windows console close event; shutting log-core down
[09/01/2025 21:25:19] [INFO] received Windows console close event; shutting log-core down
[09/01/2025 21:26:53] [INFO] received Windows console close event; shutting log-core down
[10/01/2025 22:48:55] [INFO] received Windows console close event; shutting log-core down
[10/01/2025 22:48:59] [INFO] received Windows console close event; shutting log-core down
[12/01/2025 11:00:19] [INFO] received Windows console close event; shutting log-core down
[15/01/2025 21:07:09] [INFO] received Windows console close event; shutting log-core down
[16/01/2025 21:06:58] [INFO] received Windows console close event; shutting log-core down
[16/01/2025 21:58:58] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 12:28:50] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 20:02:49] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:10:06] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:10:33] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:13:27] [INFO] received Windows console close event; shutting log-core down
